chunk_size,method,category,queries,precision,recall,mrr,ndcg
128,semantic,paraphrase,10,0.3,0.8167,0.8167,0.7449
128,semantic,exact-token,8,0.225,0.9375,0.7917,0.8236
128,semantic,lookup,12,0.2333,0.9583,0.9583,0.937
128,keyword,paraphrase,10,0.24,0.6667,0.72,0.6379
128,keyword,exact-token,8,0.25,1.0,1.0,0.99
128,keyword,lookup,12,0.2167,0.9167,0.9028,0.8792
256,semantic,paraphrase,10,0.28,0.7833,0.7833,0.7119
256,semantic,exact-token,8,0.225,0.9375,0.8542,0.8697
256,semantic,lookup,12,0.2333,0.9583,1.0,0.9678
256,keyword,paraphrase,10,0.3,0.8,0.745,0.6945
256,keyword,exact-token,8,0.25,1.0,1.0,0.99
256,keyword,lookup,12,0.25,1.0,0.9167,0.9254
512,semantic,paraphrase,10,0.3,0.8333,0.875,0.7883
512,semantic,exact-token,8,0.225,0.9375,0.9375,0.9133
512,semantic,lookup,12,0.2333,0.9583,1.0,0.9678
512,keyword,paraphrase,10,0.24,0.6167,0.7,0.6133
512,keyword,exact-token,8,0.25,1.0,1.0,0.99
512,keyword,lookup,12,0.25,1.0,0.9583,0.9678
